  [OK] TTS engine ready: pyttsx3
Voice output system initialized — single local voice locked
Starting Flask app...
 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.10.55:5000
Press CTRL+C to quit
127.0.0.1 - - [24/Jun/2026 17:25:15] "POST /api/voice-output/tts HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:25:21] "GET /api/voice-output/status HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:25:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:25:48] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:25:48] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 17:25:48] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Jun/2026 17:28:01] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:28:01] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:28:01] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:33:56] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:34:12] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:34:18] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:34:26] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:34:26] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:34:26] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:40:30] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:43] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:44] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:44] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:44] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:44] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:44] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:45] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:46] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:46] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:46] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:46] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:46] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:46] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:47] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:47] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:47] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:47] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:47] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:48] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:48] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:48] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:48] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:48] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:49] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:49] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:49] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:49] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:49] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:50] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:50] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:50] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:50] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:51] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:51] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:51] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:51] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Jun/2026 17:42:51] "GET / HTTP/1.1" 304 -
